" [(number of arms on a squid) - (height in feet of an NBA basketball hoop)] * [number of minutes taken for light from the sun to reach the earth]\n","0","8","24","72","0"
"12 x 2 +(6/4) ^2 equals what?\n","26.25","576","26.25","666","56.25"
"1919 saw the first general, city-wide strike in the USA. It involved about 35,000 workers. In which city did this strike occur?\n","Seattle, Washington","New York, N.Y.","Chicago, Illinois","Seattle, Washington","Memphis, Tennessee"
"1973 Pink Floyd album,entitled Dark Side of _____.\n","... the Moon","... the Sun","... Darkness.","... the Moon","... Parapsychology"
"3M Company was formed in 1902 in Two Harbors, Minnesota near Lake Superior with the intent of selling sandpaper. The company made $22.923 billion USD in 2006 and is famous for several inventions, including Scotch tape. What does 3M stand for?\n","Minnesota Mining and Manufacturing Company","The number 3000","Minnesota Mining and Manufacturing Company","The year 3000 A.D.","Michaels, McCallister and Murphy"
"50 years of marriage are known as this.\n","Gold anniversary","Pearl anniversary","Diamond anniversary","Gold anniversary","Platinum anniversary"
"6 am:  My alarm went off and my 4-year-old daughter jumped in bed with me, triggering my pedophobia. What was I afraid of?\n","Children","Loud noises","Children","Quick movements","Daylight"
"A 1672 painting in Dobarsko in this country depicts Jesus in a rocket ship.\n","Bulgaria","Croatia","Hungary","Estonia","Bulgaria"
"A character, played by which of these actors/actresses survived in the movie The Poseidon Adventure?\n","Red Buttons","Red Buttons","Shelly Winters","Stella Stevens","Gene Hackman"
"A clay tablet, which dates from around 2300 bce is on display at the museum in Konya, Turkey. What is on the tablet?\n","The earliest known map","The earliest known math text.","The earliest known map","The earliest known accounting ledger.","The earliest known portrait."
"A day on Venus is equal to how many Earth days?\n","243","23","119","243","306"
"A farmer and his son are working together. The farmer is carrying one sack of grain and the son is carrying two sacks. Who was carrying the heavier load- the son or the father?\n","the father","the son","They werent carrying anything.","the same amount","the father"
"A fire killed over 1600 people in 1845 in what Chinese city?\n","Guangzhou (Canton)","Hong Kong","Guangzhou (Canton)","Beijing","Shanghai"
"A great step forward in the world of pencils was made in 1858. What was it?\n","Hyman Lipman began putting an eraser on the end of pencils.","Sears-Roebuck began selling pencils in their catalog.","Hyman Lipman began putting an eraser on the end of pencils.","Sarah Teasdale Wallace patented the first indelible pencil.","Irving Kellogg Watson patented the first drawing pencils in different colors."
"A kunik is an intimate way of greeting that involves pressing the nose and upper lip against the skin of the other person. What group of people is this form of greeting typically associated with?\n","Eskimos","Pygmies in Central Africa","Eskimos","Native Americans in the US","Tasmanian Aborigines"
"A lion is part of which animal class?\n","Mammalia","Mammalia","Amphibia","Aves","Arachnida"
"A major earthquake struck this city in 1906, killing almost 3,000 people.\n","San Francisco","Taipei","Wellington","Tokyo","San Francisco"
"A man shoots his wife. Then he holds her underwater for 5-10 minutes. Then he hangs her. 30 minutes later they go out to dinner at a 5-star restaurant. How is this possible?\n","He is a photographer","He is a photographer","none of these","He brings her back to life.","He remarries."
"A man walks up to you and says Everything I say is a lie. Is he telling the truth or lying?\n","He is lying.","He is lying.","none of these","He is telling the truth.","not enough information"
